wine,winery,category,designation,varietal,appellation,alcohol,price,rating,reviewer,review
Montresor 2006 Castelliere delle Guaite  (Valpolicella Ripasso Classico),Montresor,Red,Castelliere delle Guaite,"Corvina, Rondinella, Molinara, Italian Red","Valpolicella Ripasso Classico, Veneto, Italy",14.5%,$31,88,,"This is a very intense and compelling Ripasso with bright tones of currant berry and blackberry that rise above a spicy base of cinnamon, chocolate and dried tobacco. The wine is smooth and soft although it finishes with power and determination."
Porcupine Ridge 2006 Syrah (Coastal Region),Porcupine Ridge,Red,,,"$13,Buy Now",14.5%,$13,84,Susan Kostrzewa,"A full, rich nose of blackberry, cinnamon and black pepper introduces this impressive Shiraz from mover and shaker Marc Kent. Balanced and elegant with a restrained minerality, this is a food-friendly and structured without being rugged."
Lava Vine 2016 Mangels Vineyard Grenache (Suisun Valley),Lava Vine,Red,Mangels Vineyard,Grenache,"Suisun Valley, North Coast, California, US",14.2%,$45,90,Jim Gordon,"Warm, generous plum flavors meet subtle spices, a full body and soft tannins in this rich and inviting wine. Plums, mulled cherries and a hint of strawberries are accented lightly with cinnamon and vanilla."
M. Chapoutier 2015 Collection Bio  (Cornas),M. Chapoutier,Red,Collection Bio,,"Cornas, Rhône Valley, France",13.5%,,93,Anna Lee C. Iijima,"Made from organic grapes, this is a seductively perfumed Syrah shaded by savory tones of smoked meat, cacao and sun-dried herbs. Pristine black-fruit flavors are powerfully concentrated yet briskly balanced, framed by a grip of raspy tannins and vibrant acidity. It's a lovely wine to enjoy now through 2030."
Louis Jadot 2016  Clos de Vougeot,Louis Jadot,Red,,Pinot Noir,"Clos de Vougeot, Burgundy, France",13.5%,$238,96,Roger Voss,"Jadot is one of about 80 owners of tiny parcels in this walled, five-acre vineyard. This wine is as much about rich, generous opulence as about structure. An ethereal fragrance moves into the powerful black fruits and velvet tannins. The wine will develop slowly and surely, ready to drink from 2027."
Bucci 2012  Verdicchio dei Castelli di Jesi Classico Superiore,Bucci,White,,"Verdicchio, Italian White","Verdicchio dei Castelli di Jesi Classico Superiore, Central Italy, Italy",13.5%,$22,90,Kerin O’Keefe,"This classic bottling opens with enticing floral aromas of Spanish broom, acacia and a whiff of flint. The palate delivers succulent yellow peach, citrus and almond along with mineral notes. It boasts impeccable balance and nice length."
Wine & Soul 2010 Manoella Red (Douro),Wine & Soul,Red,Manoella,Portuguese Red,"Douro, Portugal",14%,$22,92,Roger Voss,"A big, powerful, fruity wine, this is laden with dry tannins as well as blackberry flavor. Dark and concentrated, it has a solid, dense feel with fruits layered with intense wood notes. It needs at least five years to soften and round out."
Trénel 2018  Saint-Véran,Trénel,White,,Chardonnay,"Saint-Véran, Burgundy, France",13%,$33,88,Roger Voss,Spicy aromas give this wine a contrast between fruit and nutty flavors. The texture is balanced by hints of tropical fruits at the end. Drink from 2020.
McGregor 2006 Pinot Noir (Finger Lakes),McGregor,Red,,Pinot Noir,"Finger Lakes, Finger Lakes, New York, US",12.5%,$28,80,,This wine falls short of its rather lofty ambitions with lavish new French oak treatment resulting in a diminished fruit profile. Sawdust notes dominate the nose while the faintest hint of cherry can be detected on the palate. Finishes a bit tart. A good choice for those hankering for a vanilla milkshake.
Alamos 2014 Torrontés (Mendoza),Alamos,White,,Torrontés,"Mendoza, Mendoza Province, Argentina",13%,$13,84,Michael Schachner,"This is fragrant and varietally-correct on the nose. Quince, lemon-lime and lychee flavors show their best right away before turning decidedly sweet on the finish."
Château du Basty 2019  Morgon,Château du Basty,Red,,Gamay,"Morgon, Beaujolais, France",13%,$28,89,Roger Voss,"Attractively perfumed and also with firm, young tannins, this wine has density and signs of wood aging. It is still young and coming together. Drink from 2022."
Chaleur Estate 2006 Blanc White (Columbia Valley (WA)),Chaleur Estate,White,Blanc,White Blend,"Columbia Valley (WA), Columbia Valley, Washington, US",13.5%,$34,94,Paul Gregutt,"Rich and smoky, this Sauvignon Blanc-Sémillon blend delivers a nose suggesting golden raisins, ripe figs, white peaches and light streaks of butter, honey and caramel. The fruit and wood are balanced and the alcohol is a moderate 13.5%. Everything here is in proportion, layered, smooth and seductive. More than past vintages, this is a Chaleur blanc that seems destined to age and develop over the next decade or more."
Château de Tourteyron 2011  Médoc,Château de Tourteyron,Red,,Bordeaux-style Red Blend,"Médoc, Bordeaux, France",13.5%,,85,Roger Voss,"A firm and tannic wine, it is still developing. The dry structure and the smoky wood aging are dominant, giving a hard feel. It does have a juicy hint underneath, so the fruit will develop although tannins are going to remain prominent."
Château Belles Eaux 2015 Les Coteaux White (Languedoc),Château Belles Eaux,White,Les Coteaux,White Blend,"Languedoc, Languedoc-Roussillon, France",13%,$16,85,Lauren Buzzeo,"Pretty, light aromas of green melon rind, lime leaf, thyme, clover and just-dried grass dance on the nose of this white blend. The palate offers even less intensity, with a faint green-melon flavor and a thin yet clean mouthfeel. Drink now."
Starfield 2016 Marsanne (El Dorado),Starfield,White,,Marsanne,"El Dorado, Sierra Foothills, California, US",14.6%,$24,91,Jim Gordon,"Ripe and fruity, this full-bodied wine brims with melon and tangerine aromas and almost-sweet peach and melon flavors. It wraps them in a soothing, rich texture that encourages a long finish."
Vega Moragona 2010 Tempranillo (Ribera del Júcar),Vega Moragona,Red,,Tempranillo,"Ribera del Júcar, Central Spain, Spain",14.5%,$12,85,Michael Schachner,"Ripe blueberry, black plum and violet aromas are sweet and ripe. This is a chunky, flat feeling Tempranillo with candied, soft blackberry and other black-fruit flavors. A short, simple finish fits this heavy wine's overall profile."
Fall Creek 2012 Salt Lick Vineyards Tempranillo (Texas),Fall Creek,Red,Salt Lick Vineyards,Tempranillo,"Texas, Texas, US",14.5%,$30,86,Alexander Peartree,"Smoky and savory on the nose, stewed blueberries mix with sweet barbecue sauce aromas. The palate shows fresher black fruit supported by grainy tannins."
Huntington 2010 Sauvignon Blanc (Dry Creek Valley),Huntington,White,,Sauvignon Blanc,"Dry Creek Valley, Sonoma, California, US",14.1%,$14,87,,"Sometimes you just need a tasty, inexpensive Sauvignon Blanc to wash down almost anything, and here you go. It's dryish and zesty in acidity, with white currant, green grass and tropical fruit flavors that are rich enough to accompany grilled salmon. Grows more interesting as you sip."
Bodega San Pedro Regalado 2008 Embocadero  (Ribera del Duero),Bodega San Pedro Regalado,Red,Embocadero,Tempranillo,"Ribera del Duero, Northern Spain, Spain",14%,$18,85,Michael Schachner,"Broad, dark and meaty, with aromas of leather and beef broth. The palate comes on as bulky and tannic, but the flavors are full and deep even if they are also a touch soupy and meaty. Good for a 2008 midlevel RDD, but nothing to get excited over."
Drouhin Oregon Roserock 2015 Chardonnay (Eola-Amity Hills),Drouhin Oregon Roserock,White,,Chardonnay,"Eola-Amity Hills, Willamette Valley, Oregon, US",13.9%,$35,93,Paul Gregutt,"This hits the palate with full force—a stylish effort that coats the tongue with lush stone fruit flavors, elevated with citrus-tinged acidity. A light touch of barrel toast frames the lovely fruit. Drink now through the mid-2020s."
Terra Andina 2008 Altos Red (Central Valley),Terra Andina,Red,Altos,"Red Blends, Red Blends","Central Valley, Chile",14%,$18,87,Michael Schachner,"Jammy and lush smelling, yet more racy, acidic and flashy in the mouth. Flavors of cherry and raspberry are saturated and dense, but the feel is kind of hard and narrow. Minty and a little warm on the finish. 70% Malbec and 30% Petit Verdot."
Clos de la Coulée de Serrant 2002 Clos de la Coulée de Serrant  (Savennières-Coulée de Serrant),Clos de la Coulée de Serrant,White,Clos de la Coulée de Serrant,Chenin Blanc,"Savennières-Coulée de Serrant, Loire Valley, France",,$79,95,Roger Voss,"Nicolas Joly and his mother are possessors of the smallest appellation in France: Coulée de Serrant. This almost vertical vineyard, dropping down to the Loire, facing due south, makes a mythical wine that is powerful and laden with exotic fruit flavors: oranges, lemon, apricots, accented with spices and the tannins of a youthful white wine. This will last for decades. Imported by Vintus."
Vinadeis 2016 Le Val Sauvignon Blanc (Vin de France),Vinadeis,White,Le Val,Sauvignon Blanc,"Vin de France, France Other, France",12.5%,$12,84,Roger Voss,"This warm style of Sauvignon Blanc has easygoing acidity and gooseberry fruit flavors. It's lightly tangy, with a bright, crisp texture."
Chehalem 2019 Grüner Veltliner (Ribbon Ridge),Chehalem,White,,Grüner Veltliner,"Ribbon Ridge, Willamette Valley, Oregon, US",12.3%,$30,85,Paul Gregutt,"The slightly tawny straw color suggests incipient oxidation, and the wine's flatness in the mouth confirms it. The vivid, peppery quality for which the grape is known is nowhere evident. The flavors are autumnal, like apples just past the point of optimal ripeness, so this wine should be consumed as soon as possible."
Arista 2013 Toboni Vineyard Pinot Noir (Russian River Valley),Arista,Red,Toboni Vineyard,Pinot Noir,"Russian River Valley, Sonoma, California, US",14.5%,$64,93,Virginie Boone,"From a longtime vineyard source, this wine opens with dried herb and menthol aromas. It's exotic on the palate too, with seductive, silky-smooth texture and a tightness of acidity. Black cherry meets black tea and pomegranate, with just the slightest remembrance of cola. Drink now through 2023."
Di Lenardo 2007 Vigneto Vigne da Lis Maris Chardonnay (Friuli Grave),Di Lenardo,White,Vigneto Vigne da Lis Maris,Chardonnay,"Friuli Grave, Northeastern Italy, Italy",13%,$10,87,,"This luminous wine has a smooth, creamy quality that is reinforced by generous aromas of pineapple, citrus, peach and a dot of vanilla. It tastes fruity and fresh, but doesn't lack in structure, and would pair well with mushroom risotto."
Margarida Cabaco 2001 Monte dos Cabacos Red (Alentejano),Margarida Cabaco,Red,Monte dos Cabacos,Portuguese Red,"Alentejano, Portugal",14%,$19,84,Joe Czerwinski,"Like many of the Alentejano wines, this one is a blend of several grape varieties. In this case, it's Syrah, Cabernet Sauvignon, Touriga Nacional and Alicante Bouschet. The result is a broad, mouthfilling wine but one that lacks depth or richness. Black cherry and leather flavors are pleasant enough for washing down weeknight burgers. Imported by Vinum International."
Domaine Chignard 2006 Cuvée Spéciale  (Fleurie),Domaine Chignard,Red,Cuvée Spéciale,Gamay,"Fleurie, Beaujolais, France",,$25,92,Roger Voss,"There's an explosion of rich, intense fruit here: dried prunes, black plums and even some licorice. The wine is attractively edged with wood, giving a fine, ripe finish."
Kemblefield 2004 Winemakers Signature Chardonnay (Hawke's Bay),Kemblefield,White,Winemakers Signature,Chardonnay,"Hawke's Bay, New Zealand",,$13,87,Joe Czerwinski,"Fruit-forward, with green apple and lime aromas that are rounded out on the palate by a bit of peach. Light to medium in body, this fresh, crisp Chardonnay picks up citrusy notes on the finish. Imported by Total Beverage Solution."
Château Lafleur-Gazin 2014 Barrel Sample  (Pomerol),Château Lafleur-Gazin,Red,Barrel Sample,Bordeaux-style Red Blend,"Pomerol, Bordeaux, France",,,92,Roger Voss,"91–93. Barrel Sample. Structured and firm, this wine has dark, concentrated tannins counterbalanced with plenty of freshest acidity. This composition shows promise for good aging."
Ojai 2005 Thompson Vineyard Syrah (Santa Barbara County),Ojai,Red,Thompson Vineyard,,"Santa Barbara County, Central Coast, California, US",14.5%,$45,91,,"So lush and soft, so delicious, you have to drink it right now. Shows impeccably dry, complex flavors of blackberries, cherries and cedar, with roasted meat, sassafras, spice and dried herb notes. Great with lamb."
Clos des Menuts 2015  Saint-Émilion,Clos des Menuts,Red,,Bordeaux-style Red Blend,"Saint-Émilion, Bordeaux, France",14%,$29,90,Roger Voss,"This rich and dense wine shines with ripe Merlot, a product of the warm vintage. Dusty tannins, licorice and black-fruit flavors and plenty of spice from wood aging all contribute to the generally ripe effect of this generous wine. Drink from 2023."
Mirabeau en Provence 2020 Belle Année Rosé (Vin de France),Mirabeau en Provence,Rose,Belle Année,Rosé,"Vin de France, France Other, France",12.5%,$14,86,Roger Voss,"This wine is all fruit, with bright red-berry and red-currant flavors. It is crisp while also warm and juicily fresh. Drink the wine now. Suitable for vegans."
Two Sisters 2016 Lindsay's Vineyard Pinot Noir (Sta. Rita Hills),Two Sisters,Red,Lindsay's Vineyard,Pinot Noir,"Sta. Rita Hills, Central Coast, California, US",14.3%,$75,93,Matt Kettmann,"Aromas of rose petal, mulberry and violet make for an intriguing entry to this bottling. It's a smooth style of Pinot Noir, with soft tannins and a rich mouthfeel that carries flavors of violet and boysenberry."
Besserat de Bellefon NV BB Blanc de Noirs Grand Cru Brut Pinot Noir (Champagne),Besserat de Bellefon,Sparkling,BB Blanc de Noirs Grand Cru Brut,Pinot Noir,"Champagne, Champagne, France",12.5%,$90,93,Roger Voss,"With its 100% Pinot Noir from grand cru vineyards, this Champagne has great richness and good structure. Freshness balances with the strong mineral texture that gives the wine a tight edge. Drink the bottling from late 2021."
J. Lohr 2018 Pure Paso Proprietary Red (Paso Robles),J. Lohr,Red,Pure Paso Proprietary,"Red Blends, Red Blends","Paso Robles, Central Coast, California, US",14.5%,$27,93,Matt Kettmann,"This blend of 69% Cabernet Sauvignon, 27% Petite Sirah, 2% Syrah and 2% Malbec offers aromas of black-cherry pie, toasty brioche and fresh mint on the nose. That minty element carries to the palate, where more black cherry and fudge flavors are wrapped in ample acidity and chalky tannins."
Greywacke 2011 Wild Sauvignon Sauvignon Blanc (Marlborough),Greywacke,White,Wild Sauvignon,Sauvignon Blanc,"Marlborough, New Zealand",14%,$29,92,Joe Czerwinski,"Full bodied and lushly textured, this is not a typical Marlborough Sauvignon. On the nose, there's a restrained smoky character and some grapefruit, while the plate bursts with lovely pink grapefruit and some understated leafiness. It's all brought together by a balanced, harmonious finish."
Sarah's Vineyard 2015 Estate Pinot Noir (Santa Clara Valley),Sarah's Vineyard,Red,Estate,Pinot Noir,"Santa Clara Valley, Central Coast, California, US",14.2%,$45,92,Matt Kettmann,"Red cherry, rust, cinnamon, vanilla and wet herbs make for a crisp and compelling nose on this bottling by winemaker Tim Slater, who manages to elicit cooler climate properties from a warmer region. A wide array of herbs, including thyme, oregano, marjoram and sage, decorate the firmly structured hibiscus, red currant and cranberry backdrop. The acid goes deep into the finish."
Cono Sur 2008 Organically Grown Grapes Cabernet Sauvignon-Carmenère (Colchagua Valley),Cono Sur,Red,Organically Grown Grapes,,"Colchagua Valley, Chile",13%,$13,84,Michael Schachner,"Hard and inky on first blush, with aromas of shoe polish and wild, aggressive fruit. A far more narrow and acidic wine than we expected to find, with racy, short, blue fruit flavors. Bright and choppy, with a short finish. Seems underdeveloped."
Vallformosa 2000 Mas La Roca Selección Especial Syrah (Penedès),Vallformosa,Red,Mas La Roca Selección Especial,,"Penedès, Catalonia, Spain",13.5%,$30,83,Michael Schachner,"Dark and smoky, almost like a burnt wooden match on top of plum purée. Runs a bit tart in the mouth for Syrah, with red raspberry and cherry flavors. Firm and lean in the mouth."
Brick House NV House Red Made with Biodynamic Grapes Pinot Noir (Ribbon Ridge),Brick House,Red,House Red Made with Biodynamic Grapes,Pinot Noir,"Ribbon Ridge, Willamette Valley, Oregon, US",12.5%,$29,91,Paul Gregutt,"The fire-impacted 2020 vintage led founder Doug Tunnell to declassify all the fruit and create this blend, which includes a significant portion of 2019 juice. The winner here is you, the consumer. Delicious blackberry fruit, hints of coffee and chocolate, smooth tannins and a lush mouthfeel make this immediately enjoyable."
Kevin White 2015 DuBrul Vineyard Red (Yakima Valley),Kevin White,Red,DuBrul Vineyard,Bordeaux-style Red Blend,"Yakima Valley, Columbia Valley, Washington, US",14.5%,$40,92,Sean P. Sullivan,"Coming from one of the state's top vineyards, this wine is a blend of Merlot (52%) and Cabernet Sauvignon. The aromas pop, with achingly pure notes of raspberry, assorted dried herb, pie cherry, blueberry and spice. The palate shows finesse and grace, with silky fruit flavors and velvety tannins, with savory notes on a finish that won't quit. It's a flat-out gorgeous, exquisitely understated interpretation of this vineyard."
Henri de Villamont 2015 Sous le Puits Premier Cru  (Puligny-Montrachet),Henri de Villamont,White,Sous le Puits Premier Cru,Chardonnay,"Puligny-Montrachet, Burgundy, France",13.5%,,93,Roger Voss,"This naturally cool vineyard fared well in warm 2015, giving wine that has retained minerality and a crisp texture. It is fruity, while having a tight edge as well as layers of acidity. Drink from 2020."
Villa Monteleone 2009 Campo Santa Lena  (Valpolicella Classico),Villa Monteleone,Red,Campo Santa Lena,"Corvina, Rondinella, Molinara, Italian Red","Valpolicella Classico, Veneto, Italy",12%,$13,83,,"Easy on the nose and mouth, offering simple aromas of cherry, blueberry and white almond. In the mouth, it delivers an informal, lean approach."
Carol Shelton 2019 Coquille Rouge Red (Central Coast),Carol Shelton,Red,Coquille Rouge,Rhône-style Red Blend,"Central Coast, Central Coast, California, US",14.5%,$26,91,Matt Kettmann,"Living legend Carol Shelton sources from the town of Oakley in the San Joaquin Delta region for this blend of Carignan, Grenache, Mourvèdre, Alicante Bouschet and Petite Sirah. Oaky aromas of vanilla, dark berry and violet lead into a palate of cola, sarsaparilla, cinnamon and baked strawberry flavors."
Torremoron 2009 Tempranillo  (Ribera del Duero),Torremoron,Red,Tempranillo,Tempranillo,"Ribera del Duero, Northern Spain, Spain",13%,$11,86,Michael Schachner,"A little earthy and rough at first, with rubbery aromas. After time it evolves to deliver a weighty palate full of black fruit, oak and medicinality. Dry, toasty and a bit hot and scratchy on the finish. Nice for $11 Ribera del Duero."
Korbel NV Sweet Cuvée Sparkling (California),Korbel,Sparkling,Sweet Cuvée,"Sparkling Blend, Sparkling","California, California Other, California, US",11%,$13,87,,"Like the label suggests, it's sugary in tangerine, vanilla cookie and butterscotch flavors, with crisp acidity and fine, scoury bubbles. A nice sparkling wine for those who like a sweeter style."
Vivác Winery 2009 Tempranillo (New Mexico),Vivác Winery,Red,,Tempranillo,"New Mexico, New Mexico, US",13%,$20,83,,"This smells like a melted Luden's cough drop sprinkled with coffee grounds and spices. Medium bodied, it has a jumbled herbal flavor, finishing with warmth and notes of dark chocolate and coffee."
Bailly-Lapierre 2013 Vive-la-Joie Rosé Brut  (Crémant de Bourgogne),Bailly-Lapierre,Sparkling,Vive-la-Joie Rosé Brut,"Sparkling Blend, Sparkling","Crémant de Bourgogne, Burgundy, France",12%,$33,93,Anne Krebiehl MW,"Strawberry shortcake notes abound on the fresh nose of this wine, which conveys the fresh fruit, creaminess and richness of the pastry. The palate puts these all in a tight, fresh corset, vivid with liveliness. Fine foam makes everything exuberant and bright. The finish is alluring and dry."
Château Clairac 2013  Blaye Côtes de Bordeaux,Château Clairac,Red,,Bordeaux-style Red Blend,"Blaye Côtes de Bordeaux, Bordeaux, France",,$14,85,Roger Voss,"This lightly oaked wine is already balanced with some attractive dusty tannins and red currant fruit flavors. It is bright with acidity and with a fresh, fruity aftertaste. Drink from 2016. This is a Carreau family estate."
Maison Bleue 2007 La Vallée du Soleil Roussanne (Yakima Valley),Maison Bleue,White,La Vallée du Soleil,Roussanne,"Yakima Valley, Columbia Valley, Washington, US",,$23,86,Paul Gregutt,"This reverses the blend of the Viognier; it's 85% Roussanne and 15% Viognier and finishes in a rather surprisingly sweet, off-dry style with 1.4% residual sugar. White peach and spicy pear fruit flavors are bright and fleshy, while the sweetness is offset by moderate acids. For those who prefer some sweetness in their white wines, this is an excellent choice."
Schäfer-Fröhlich 2017 Kabinett Riesling (Nahe),Schäfer-Fröhlich,White,Kabinett,Riesling,"Nahe, Germany",8%,$39,92,Anna Lee C. Iijima,"Earthen notes of crushed mineral and bramble juxtapose lip-smacking lemon, lime and white grapefruit here. It's a spine-tingling, piercing wine edged by delicate hints of sweetness and a pleasantly savory, salty finish. It needs more time to open but is structured enough to improve through 2035."
Tres Palacios 2012 Family Vintage Cabernet Sauvignon (Maipo Valley),Tres Palacios,Red,Family Vintage,Cabernet Sauvignon,"Maipo Valley, Chile",14%,$18,86,Michael Schachner,"Leafy, herbal aromas of plum and raspberry show a touch of tomato, with a dash of oregano. This is soft on the palate, without a lot of spine or structure. Earthy, herbal flavors of stewed berries, tomato and green herbs finish minty and leafy, but with good feel."
La Forge Estate 2008 Unfiltered Merlot (Vin de Pays d'Oc),La Forge Estate,Red,Unfiltered,Merlot,"Vin de Pays d'Oc, Languedoc-Roussillon, France",13.5%,$13,83,Lauren Buzzeo,"The bright and inviting nose is loaded with lively red fruit, including raspberries and cherries, along with a soft hint of vanilla. Incredibly lightweight with soft fruit flavors; easy to drink."
Edouard Delaunay 2019 Septembre Chardonnay  (Bourgogne),Edouard Delaunay,White,Septembre Chardonnay,Chardonnay,"Bourgogne, Burgundy, France",13%,$20,88,Anna Lee C. Iijima,"Just a hint of sweet mesquite lends spice on the nose of this juicy, bright-fruited Chardonnay. Medium bodied and plump in yellow apple, pear and Mirabelle flavors, it's a fruit-forward, elegant sip best enjoyed young."
:Nota Bene 2008 Abbinare Red (Columbia Valley (WA)),:Nota Bene,Red,Abbinare,Bordeaux-style Red Blend,"Columbia Valley (WA), Columbia Valley, Washington, US",14.9%,$25,91,Paul Gregutt,"A rich and smooth vintage for Abbinare, once again a Bordeaux-style blend that is half Merlot, and roughly 20% each Cabernet Sauvignon and Cabernet Franc. Purple fruits are swathed in milk-chocolaty tannins. It's full, firm, dense and immediately appealing, with aftertastes suggesting graphite and vanilla."
Château Pertignas 2016 Cuvée de Copains  (Bordeaux Supérieur),Château Pertignas,Red,Cuvée de Copains,Bordeaux-style Red Blend,"Bordeaux Supérieur, Bordeaux, France",13.5%,$23,84,Roger Voss,"This wine holds fruit that was too ripe, giving a clumsy character. It has structure as well as bright acidity, but the wine is spoiled by the jamminess."
Sanfeletto NV Brut  (Conegliano Valdobbiadene Prosecco Superiore),Sanfeletto,Sparkling,Brut,"Glera, Italian White","Conegliano Valdobbiadene Prosecco Superiore, Veneto, Italy",11.5%,$19,89,Kerin O’Keefe,"Delicate aromas of Spanish broom and pear come with a hint of nuts on the nose. The palate offers yellow peach, green apple and a mineral note alongside vibrant acidity and small, persistent bubbles."
Golan Heights Winery 2014 Yarden Sauvignon Blanc (Galilee),Golan Heights Winery,White,Yarden,Sauvignon Blanc,"Galilee, Israel",13.5%,$20,89,Mike DeSimone,"Light straw to the eye, this wine offers aromas of pineapple, grapefruit and cut grass. There is a nice balance of citrus and herbal notes on the taste buds, with flavors of pear, peach, lemon and chopped parsley and basil. It has a bright, fresh finish."
Big Daddy Vineyards 2003 Chardonnay (Mendoza),Big Daddy Vineyards,White,,Chardonnay,"Mendoza, Mendoza Province, Argentina",13.3%,$9,82,Michael Schachner,"Heavy and flat, with dull apple aromas. The palate delivers simple yellow fruit, while the finish is soft and devoid of spunk. There isn't a whole lot more to say about this wine; it's a cipher."
Walt 2017 Gap's Crown Vineyard Pinot Noir (Sonoma Coast),Walt,Red,Gap's Crown Vineyard,Pinot Noir,"Sonoma Coast, Sonoma, California, US",14.8%,$75,90,Virginie Boone,"Fresh in cherry and pomegranate, this is a full-bodied, robustly ripe and tannic wine, that is also oaky and powerful. Bold fistfuls of Asian spice give it complexity and balance."
Sartarelli 2008 Balciana  (Verdicchio dei Castelli di Jesi Classico Superiore),Sartarelli,White,Balciana,"Verdicchio, Italian White","Verdicchio dei Castelli di Jesi Classico Superiore, Central Italy, Italy",15%,,88,,"Light golden in color, this has ripe aromas of stone fruit, apricot, honey, grapefruit and dried herb. It has freshness and structure, and the finish lasts for many long minutes."
Skinner 2019 Mourvèdre (El Dorado),Skinner,Red,,Mourvèdre,"El Dorado, Sierra Foothills, California, US",13.5%,$30,92,Jim Gordon,"This handsomely oaked wine sprinkles ginger, cinnamon and clove over ripe and vibrant black-cherry flavors that are wrapped in moderate tannins for a grippy mouthfeel. Tempting now for its warm spices and deep fruit, it will be best from 2024."
Frei Brothers 2009 Reserve Cabernet Sauvignon (Alexander Valley),Frei Brothers,Red,Reserve,Cabernet Sauvignon,"Alexander Valley, Sonoma, California, US",14.3%,$27,86,,"This treads the line between simple and complex, showing ripe flavors of blackberries and cherries that seem sweet, although the finish is dry. Softly tannic, this is made for drinking now."
Chandon 2003 L'étoile Tête de Cuvée Sparkling (Napa County-Sonoma County),Chandon,Sparkling,L'étoile Tête de Cuvée,"Sparkling Blend, Sparkling","Napa County-Sonoma County, Napa-Sonoma, California, US",13%,$100,91,,"L'Etoile is Chandon's highest expression of brut-style sparkling wine, and with this bottling, they've exceeded their reputation. The wine is as smooth as silk, like honey gliding over the palate, carrying lime, grapefuit, peach and raspberry flavors. A certain softness may limit ageability, so drink now."
Errazuriz 2005 Don Maximiano Founder's Reserva Red (Aconcagua Valley),Errazuriz,Red,Don Maximiano Founder's Reserva,"Red Blends, Red Blends","Aconcagua Valley, Chile",14.5%,$65,90,Michael Schachner,"The best Don Max in quite some time. After too many herbal-green vintages, the 2005 is ripe, rich and well woven. The bouquet shows hickory, roasted plum, chocolate, vanilla and peanut. The palate, meanwhile, is all about pure cassis, blackberry, mocha and spice. Finishes with a dash of caramel and earthy fruit leftovers. Honest, rugged and ready, but ageable for at least another 3–4 years."
Veuve Clicquot Ponsardin 1996 Réserve Brut  (Champagne),Veuve Clicquot Ponsardin,Sparkling,Réserve Brut,"Champagne Blend, Sparkling","Champagne, Champagne, France",12%,$75,90,Paul Gregutt,"This is a gem, with lots of up-front toast. A typical  structured year for Champagne, this has clean, round fruit, but retains good acid, providing firm support and longer-term aging potential than the '95. It floats into a pleasing, vanilla cream and toast finish."
Indigo Hills 2000 Chardonnay (Central Coast),Indigo Hills,White,,Chardonnay,"Central Coast, Central Coast, California, US",,$12,83,,"Dust and earth aromas cover underlying apple flavors in this simple, rather sweet wine. Excessively soft acidity makes it drink syrupy. Still, it has basic Chard features and will satisfy most big crowds. —S.H."
Château Hosanna 2017  Pomerol,Château Hosanna,Red,,Bordeaux-style Red Blend,"Pomerol, Bordeaux, France",14%,,94,Roger Voss,"This blend of 80% Merlot and 20% Cabernet Franc has a satisfyingly rich and perfumed character. It is dense both with tannins and black fruits, ripe and with enough concentration to promise good aging. Drink from 2023."
Simon Gilbert 2004 Central Ranges Semillon-Sauvignon Blanc (New South Wales),Simon Gilbert,White,Central Ranges,"Semillon-Sauvignon Blanc, White Blend","New South Wales, New South Wales, Australia",12%,$15,85,,"What we get of this Semillon-Sauvignon Blanc is nice, but there's just not enough of it to go around. Mineral and green grape flavors fade into fresh herbs on the palate, but the flavors are less than intense. Peach skin and grass aromas are joined by some rubber on the nose. Has potential; just wants to be dialed up a little louder."
Hayward by Folin Cellars 2012 Utopia Vineyard Pinot Noir (Ribbon Ridge),Hayward by Folin Cellars,Red,Utopia Vineyard,Pinot Noir,"Ribbon Ridge, Willamette Valley, Oregon, US",14.2%,$45,92,Paul Gregutt,"This is winemaker Rob Folin's side project, sourcing grapes from the excellent Utopia Vineyard in the heart of the Willamette Valley. It captures the elegance, precision and depth of that specific location. Toasty, spicy and focused, it's structured around bright, deep raspberry and Bing cherry fruit. The lush baking spices are the perfect frame."
Faiveley 2005 Les Mauvarennes  (Mercurey),Faiveley,Red,Les Mauvarennes,Pinot Noir,"Mercurey, Burgundy, France",13%,$25,89,Roger Voss,"Dark and tough, this shows considerable wood at this early stage. Like many Faiveley wines, it is tough and tannic when young, with a dry core. But I also taste red fruits, fresh acidity and a lively, fresh aftertaste. Just be patient."
Domaine Castel Oualou 2016 Fût de Chêne Red (Lirac),Domaine Castel Oualou,Red,Fût de Chêne,Rhône-style Red Blend,"Lirac, Rhône Valley, France",13.5%,$20,88,Anna Lee C. Iijima,"Oak aging lends a savory, earthen quality to fleshy black-cherry and plum flavors in this wine. Medium bodied and restrained in style, the black-fruit flavors are intensely ripe and concentrated but also muted and smoky. Approachable now the wine should hold through 2023."
Château Teynac 2015  Saint-Julien,Château Teynac,Red,,Bordeaux-style Red Blend,"Saint-Julien, Bordeaux, France",13%,$39,93,Roger Voss,"This perfumed wine is now approaching maturity. Aged in wood, the wine has spice backing up elegant tannins that are fully integrated into the ripe black fruits. Acidity keeps everything fresh. Drink from 2021."
